#,From Zip,To Zip,Service Code,Service Description,Pickup Date / Time,Arrival Date / Time,Business Days in Transit,Arrival Day
1,43004,47610,1DM,UPS Next Day Air Early,2022-07-18  / 19:30 ,2022-07-19 / 08:30,1,TUE
1,43004,47610,1DA,UPS Next Day Air,2022-07-18  / 19:30 ,2022-07-19 / 10:30,1,TUE
1,43004,47610,1DP,UPS Next Day Air Saver,2022-07-18  / 19:30 ,2022-07-19 / 23:00,1,TUE
1,43004,47610,GND,UPS Ground,2022-07-18  / 19:30 ,2022-07-19 / 23:00,1,TUE
1,43004,47610,2DM,UPS 2nd Day Air A.M.,2022-07-18  / 19:30 ,2022-07-20 / 23:00,2,WED
1,43004,47610,2DA,UPS 2nd Day Air,2022-07-18  / 19:30 ,2022-07-20 / 23:00,2,WED
1,43004,47610,3DS,UPS 3 Day Select,2022-07-18  / 19:30 ,2022-07-21 / 23:00,3,THU
2,43004,47611,1DM,UPS Next Day Air Early,2022-07-18  / 19:30 ,2022-07-19 / 10:00,1,TUE
2,43004,47611,1DA,UPS Next Day Air,2022-07-18  / 19:30 ,2022-07-19 / 23:00,1,TUE
2,43004,47611,GND,UPS Ground,2022-07-18  / 19:30 ,2022-07-19 / 23:00,1,TUE
2,43004,47611,2DA,UPS 2nd Day Air,2022-07-18  / 19:30 ,2022-07-20 / 23:00,2,WED
2,43004,47611,3DS,UPS 3 Day Select,2022-07-18  / 19:30 ,2022-07-21 / 23:00,3,THU
3,43004,47612,1DM,UPS Next Day Air Early,2022-07-18  / 19:30 ,2022-07-19 / 08:30,1,TUE
3,43004,47612,1DA,UPS Next Day Air,2022-07-18  / 19:30 ,2022-07-19 / 10:30,1,TUE
3,43004,47612,1DP,UPS Next Day Air Saver,2022-07-18  / 19:30 ,2022-07-19 / 23:00,1,TUE
3,43004,47612,GND,UPS Ground,2022-07-18  / 19:30 ,2022-07-19 / 23:00,1,TUE
3,43004,47612,2DM,UPS 2nd Day Air A.M.,2022-07-18  / 19:30 ,2022-07-20 / 23:00,2,WED
3,43004,47612,2DA,UPS 2nd Day Air,2022-07-18  / 19:30 ,2022-07-20 / 23:00,2,WED
3,43004,47612,3DS,UPS 3 Day Select,2022-07-18  / 19:30 ,2022-07-21 / 23:00,3,THU
4,43004,47613,1DM,UPS Next Day Air Early,2022-07-18  / 19:30 ,2022-07-19 / 09:00,1,TUE
4,43004,47613,1DA,UPS Next Day Air,2022-07-18  / 19:30 ,2022-07-19 / 10:30,1,TUE
4,43004,47613,1DP,UPS Next Day Air Saver,2022-07-18  / 19:30 ,2022-07-19 / 23:00,1,TUE
4,43004,47613,GND,UPS Ground,2022-07-18  / 19:30 ,2022-07-19 / 23:00,1,TUE
4,43004,47613,2DM,UPS 2nd Day Air A.M.,2022-07-18  / 19:30 ,2022-07-20 / 23:00,2,WED
4,43004,47613,2DA,UPS 2nd Day Air,2022-07-18  / 19:30 ,2022-07-20 / 23:00,2,WED
4,43004,47613,3DS,UPS 3 Day Select,2022-07-18  / 19:30 ,2022-07-21 / 23:00,3,THU
5,43004,47615,1DM,UPS Next Day Air Early,2022-07-18  / 19:30 ,2022-07-19 / 10:00,1,TUE
5,43004,47615,1DA,UPS Next Day Air,2022-07-18  / 19:30 ,2022-07-19 / 23:00,1,TUE
5,43004,47615,GND,UPS Ground,2022-07-18  / 19:30 ,2022-07-19 / 23:00,1,TUE
5,43004,47615,2DA,UPS 2nd Day Air,2022-07-18  / 19:30 ,2022-07-20 / 23:00,2,WED
5,43004,47615,3DS,UPS 3 Day Select,2022-07-18  / 19:30 ,2022-07-21 / 23:00,3,THU
6,43004,47616,1DM,UPS Next Day Air Early,2022-07-18  / 19:30 ,2022-07-19 / 10:00,1,TUE
6,43004,47616,1DA,UPS Next Day Air,2022-07-18  / 19:30 ,2022-07-19 / 12:00,1,TUE
6,43004,47616,1DP,UPS Next Day Air Saver,2022-07-18  / 19:30 ,2022-07-19 / 23:00,1,TUE
6,43004,47616,GND,UPS Ground,2022-07-18  / 19:30 ,2022-07-19 / 23:00,1,TUE
6,43004,47616,2DM,UPS 2nd Day Air A.M.,2022-07-18  / 19:30 ,2022-07-20 / 23:00,2,WED
6,43004,47616,2DA,UPS 2nd Day Air,2022-07-18  / 19:30 ,2022-07-20 / 23:00,2,WED
6,43004,47616,3DS,UPS 3 Day Select,2022-07-18  / 19:30 ,2022-07-21 / 23:00,3,THU
7,43004,47617,1DM,UPS Next Day Air Early,2022-07-18  / 19:30 ,2022-07-19 / 08:30,1,TUE
7,43004,47617,1DA,UPS Next Day Air,2022-07-18  / 19:30 ,2022-07-19 / 10:30,1,TUE
7,43004,47617,1DP,UPS Next Day Air Saver,2022-07-18  / 19:30 ,2022-07-19 / 23:00,1,TUE
7,43004,47617,GND,UPS Ground,2022-07-18  / 19:30 ,2022-07-19 / 23:00,1,TUE
7,43004,47617,2DM,UPS 2nd Day Air A.M.,2022-07-18  / 19:30 ,2022-07-20 / 23:00,2,WED
7,43004,47617,2DA,UPS 2nd Day Air,2022-07-18  / 19:30 ,2022-07-20 / 23:00,2,WED
7,43004,47617,3DS,UPS 3 Day Select,2022-07-18  / 19:30 ,2022-07-21 / 23:00,3,THU
8,43004,47618,1DM,UPS Next Day Air Early,2022-07-18  / 19:30 ,2022-07-19 / 08:00,1,TUE
8,43004,47618,1DA,UPS Next Day Air,2022-07-18  / 19:30 ,2022-07-19 / 10:30,1,TUE
8,43004,47618,1DP,UPS Next Day Air Saver,2022-07-18  / 19:30 ,2022-07-19 / 23:00,1,TUE
8,43004,47618,GND,UPS Ground,2022-07-18  / 19:30 ,2022-07-19 / 23:00,1,TUE
8,43004,47618,2DM,UPS 2nd Day Air A.M.,2022-07-18  / 19:30 ,2022-07-20 / 23:00,2,WED
8,43004,47618,2DA,UPS 2nd Day Air,2022-07-18  / 19:30 ,2022-07-20 / 23:00,2,WED
8,43004,47618,3DS,UPS 3 Day Select,2022-07-18  / 19:30 ,2022-07-21 / 23:00,3,THU
9,43004,47619,1DM,UPS Next Day Air Early,2022-07-18  / 19:30 ,2022-07-19 / 09:00,1,TUE
9,43004,47619,1DA,UPS Next Day Air,2022-07-18  / 19:30 ,2022-07-19 / 10:30,1,TUE
9,43004,47619,1DP,UPS Next Day Air Saver,2022-07-18  / 19:30 ,2022-07-19 / 23:00,1,TUE
9,43004,47619,GND,UPS Ground,2022-07-18  / 19:30 ,2022-07-19 / 23:00,1,TUE
9,43004,47619,2DM,UPS 2nd Day Air A.M.,2022-07-18  / 19:30 ,2022-07-20 / 23:00,2,WED
9,43004,47619,2DA,UPS 2nd Day Air,2022-07-18  / 19:30 ,2022-07-20 / 23:00,2,WED
9,43004,47619,3DS,UPS 3 Day Select,2022-07-18  / 19:30 ,2022-07-21 / 23:00,3,THU
10,43004,47620,1DM,UPS Next Day Air Early,2022-07-18  / 19:30 ,2022-07-19 / 09:00,1,TUE
10,43004,47620,1DA,UPS Next Day Air,2022-07-18  / 19:30 ,2022-07-19 / 10:30,1,TUE
10,43004,47620,1DP,UPS Next Day Air Saver,2022-07-18  / 19:30 ,2022-07-19 / 23:00,1,TUE
10,43004,47620,GND,UPS Ground,2022-07-18  / 19:30 ,2022-07-19 / 23:00,1,TUE
10,43004,47620,2DM,UPS 2nd Day Air A.M.,2022-07-18  / 19:30 ,2022-07-20 / 23:00,2,WED
10,43004,47620,2DA,UPS 2nd Day Air,2022-07-18  / 19:30 ,2022-07-20 / 23:00,2,WED
10,43004,47620,3DS,UPS 3 Day Select,2022-07-18  / 19:30 ,2022-07-21 / 23:00,3,THU
11,43004,47629,1DM,UPS Next Day Air Early,2022-07-18  / 19:30 ,2022-07-19 / 08:30,1,TUE
11,43004,47629,1DA,UPS Next Day Air,2022-07-18  / 19:30 ,2022-07-19 / 10:30,1,TUE
11,43004,47629,1DP,UPS Next Day Air Saver,2022-07-18  / 19:30 ,2022-07-19 / 23:00,1,TUE
11,43004,47629,GND,UPS Ground,2022-07-18  / 19:30 ,2022-07-19 / 23:00,1,TUE
11,43004,47629,2DM,UPS 2nd Day Air A.M.,2022-07-18  / 19:30 ,2022-07-20 / 23:00,2,WED
11,43004,47629,2DA,UPS 2nd Day Air,2022-07-18  / 19:30 ,2022-07-20 / 23:00,2,WED
11,43004,47629,3DS,UPS 3 Day Select,2022-07-18  / 19:30 ,2022-07-21 / 23:00,3,THU
12,43004,47630,1DM,UPS Next Day Air Early,2022-07-18  / 19:30 ,2022-07-19 / 08:30,1,TUE
12,43004,47630,1DA,UPS Next Day Air,2022-07-18  / 19:30 ,2022-07-19 / 10:30,1,TUE
12,43004,47630,1DP,UPS Next Day Air Saver,2022-07-18  / 19:30 ,2022-07-19 / 23:00,1,TUE
12,43004,47630,GND,UPS Ground,2022-07-18  / 19:30 ,2022-07-19 / 23:00,1,TUE
12,43004,47630,2DM,UPS 2nd Day Air A.M.,2022-07-18  / 19:30 ,2022-07-20 / 23:00,2,WED
12,43004,47630,2DA,UPS 2nd Day Air,2022-07-18  / 19:30 ,2022-07-20 / 23:00,2,WED
12,43004,47630,3DS,UPS 3 Day Select,2022-07-18  / 19:30 ,2022-07-21 / 23:00,3,THU
13,43004,47631,1DM,UPS Next Day Air Early,2022-07-18  / 19:30 ,2022-07-19 / 10:00,1,TUE
13,43004,47631,1DA,UPS Next Day Air,2022-07-18  / 19:30 ,2022-07-19 / 12:00,1,TUE
13,43004,47631,1DP,UPS Next Day Air Saver,2022-07-18  / 19:30 ,2022-07-19 / 23:00,1,TUE
13,43004,47631,GND,UPS Ground,2022-07-18  / 19:30 ,2022-07-19 / 23:00,1,TUE
13,43004,47631,2DM,UPS 2nd Day Air A.M.,2022-07-18  / 19:30 ,2022-07-20 / 23:00,2,WED
13,43004,47631,2DA,UPS 2nd Day Air,2022-07-18  / 19:30 ,2022-07-20 / 23:00,2,WED
13,43004,47631,3DS,UPS 3 Day Select,2022-07-18  / 19:30 ,2022-07-21 / 23:00,3,THU
