ORIGIN ZIP,DESTINATION ZIP,PICKUPDATE (YYYYMMDD),"PICKUPTIME (HH:MM:SS) - If left blank, value defaults to 18:00:00",WEIGHT (lbs),TOTAL PACKAGES IN SHIPMENT
77031,30071,20220718,,,
77031,93313,20220718,,,
77031,60106,20220718,,,
77031,28217,20220718,,,
77031,45069,20220718,,,
77031,75211,20220718,,,
77031,48071,20220718,,,
77031,16502,20220718,,,
77031,94560,20220718,,,
77031,33309,20220718,,,
77031,77031,20220718,,,
77031,66215,20220718,,,
77031,19407,20220718,,,
77031,90670,20220718,,,
77031,55117,20220718,,,
77031,37207,20220718,,,
77031,70087,20220718,,,
77031,34787,20220718,,,
77031,18640,20220718,,,
77031,23231,20220718,,,
77031,63141,20220718,,,
77031,85001,20220718,,,
77031,80204,20220718,,,
77031,98195,20220718,,,
21074,30071,20220718,,,
21074,93313,20220718,,,
21074,60106,20220718,,,
21074,28217,20220718,,,
21074,45069,20220718,,,
21074,75211,20220718,,,
21074,48071,20220718,,,
21074,16502,20220718,,,
21074,94560,20220718,,,
21074,33309,20220718,,,
21074,77031,20220718,,,
21074,66215,20220718,,,
21074,19407,20220718,,,
21074,90670,20220718,,,
21074,55117,20220718,,,
21074,37207,20220718,,,
21074,70087,20220718,,,
21074,34787,20220718,,,
21074,18640,20220718,,,
21074,23231,20220718,,,
21074,63141,20220718,,,
21074,85001,20220718,,,
21074,80204,20220718,,,
21074,98195,20220718,,,
