ORIGIN ZIP,DESTINATION ZIP,PICKUPDATE (YYYYMMDD),"PICKUPTIME (HH:MM:SS) - If left blank, value defaults to 18:00:00",WEIGHT (lbs),TOTAL PACKAGES IN SHIPMENT
77031,21202,20220718,,,
77031,19103,20220718,,,
77031,21074,20220718,,,
77031,22042,20220718,,,
77031,21204,20220718,,,
77031,20036,20220718,,,
77031,20852,20220718,,,
77031,77031,20220718,,,
77031,21074,20220718,,,
77031,19041,20220718,,,
77031,30319,20220718,,,
77031,28211,20220718,,,
77031,23238,20220718,,,
77031,60091,20220718,,,
77031,21074,20220718,,,
77031,21074,20220718,,,
77031,21903,20220718,,,
77031,60602,20220718,,,
77031,48009,20220718,,,
77031,77019,20220718,,,
77031,35209,20220718,,,
77031,80206,20220718,,,
77031,38138,20220718,,,
77031,44122,20220718,,,
77031,14221,20220718,,,
77031,21074,20220718,,,
77031,15222,20220718,,,
77031,63141,20220718,,,
77031,21074,20220718,,,
77031,37215,20220718,,,
77031,45236,20220718,,,
77031,40222,20220718,,,
77031,11530,20220718,,,
77031,14618,20220718,,,
77031,80112,20220718,,,
77031,27605,20220718,,,
77031,55435,20220718,,,
77031,77063,20220718,,,
77031,21074,20220718,,,
77031,43085,20220718,,,
77031,48152,20220718,,,
77031,46240,20220718,,,
77031,77081,20220718,,,
77031,22202,20220718,,,
77031,32750,20220718,,,
77031,66209,20220718,,,
77031,30338,20220718,,,
77031,23454,20220718,,,
77031,75225,20220718,,,
77031,19807,20220718,,,
77031,45429,20220718,,,
77031,49506,20220718,,,
77031,78759,20220718,,,
77031,29607,20220718,,,
77031,19118,20220718,,,
77031,12524,20220718,,,
77031,10017,20220718,,,
77031,53045,20220718,,,
77031,77380,20220718,,,
77031,12203,20220718,,,
77031,28202,20220718,,,
77031,21401,20220718,,,
77031,32256,20220718,,,
77031,20190,20220718,,,
77031,11797,20220718,,,
77031,30096,20220718,,,
77031,77477,20220718,,,
77031,28803,20220718,,,
77031,37919,20220718,,,
77031,70130,20220718,,,
77031,39211,20220718,,,
77031,62301,20220718,,,
77031,62704,20220718,,,
77031,30909,20220718,,,
77031,70836,20220718,,,
77031,70002,20220718,,,
77031,34243,20220718,,,
77031,28314,20220718,,,
77031,16565,20220718,,,
77031,66044,20220718,,,
77031,54304,20220718,,,
77031,94608,20220718,,,
77031,97086,20220718,,,
77031,94588,20220718,,,
77031,13204,20220718,,,
77031,21074,20220718,,,
77031,21074,20220718,,,
77031,94538,20220718,,,
77031,21074,20220718,,,
77031,21074,20220718,,,
77031,21074,20220718,,,
77031,21784,20220718,,,
77031,21074,20220718,,,
77031,21074,20220718,,,
77031,21784,20220718,,,
77031,11901,20220718,,,
77031,77433,20220718,,,
77031,19464,20220718,,,
77031,21658,20220718,,,
77031,35094,20220718,,,
77031,65616,20220718,,,
77031,36535,20220718,,,
77031,17602,20220718,,,
77031,73127,20220718,,,
77031,45050,20220718,,,
77031,16565,20220718,,,
77031,78666,20220718,,,
77031,66044,20220718,,,
77031,10917,20220718,,,
77031,54304,20220718,,,
77031,33908,20220718,,,
77031,21740,20220718,,,
77031,80108,20220718,,,
77031,78664,20220718,,,
77031,30248,20220718,,,
77031,13204,20220718,,,
77031,94551,20220718,,,
77031,48326,20220718,,,
77031,39503,20220718,,,
77031,37090,20220718,,,
77031,29418,20220718,,,
77031,30188,20220718,,,
77031,63005,20220718,,,
77031,53158,20220718,,,
77031,32092,20220718,,,
77031,19971,20220718,,,
77031,46360,20220718,,,
77031,33401,20220718,,,
77031,55301,20220718,,,
77031,12845,20220718,,,
77031,40067,20220718,,,
77031,32550,20220718,,,
77031,29572,20220718,,,
77031,28278,20220718,,,
77031,46124,20220718,,,
77031,55122,20220718,,,
77031,31322,20220718,,,
77031,24018,20220718,,,
77031,53705,20220718,,,
77031,11030,20220718,,,
77031,21045,20220718,,,
77031,30339,20220718,,,
77031,77069,20220718,,,
77031,77096,20220718,,,
77031,77598,20220718,,,
77031,10583,20220718,,,
77031,32765,20220718,,,
77031,36106,20220718,,,
77031,75093,20220718,,,
77031,55113,20220718,,,
77031,48309,20220718,,,
77031,21074,20220718,,,
77031,27408,20220718,,,
77031,44113,20220718,,,
77031,20814,20220718,,,
77031,30062,20220718,,,
77031,22101,20220718,,,
77031,60035,20220718,,,
77031,60074,20220718,,,
77031,30022,20220718,,,
77031,60005,20220718,,,
77031,84107,20220718,,,
77031,84604,20220718,,,
77031,22903,20220718,,,
77031,30269,20220718,,,
77031,20002,20220718,,,
77031,63017,20220718,,,
77031,16127,20220718,,,
77031,21842,20220718,,,
77031,23188,20220718,,,
77031,30534,20220718,,,
77031,20176,20220718,,,
77031,15228,20220718,,,
77031,72211,20220718,,,
77031,80021,20220718,,,
77031,45209,20220718,,,
77031,19406,20220718,,,
77031,33609,20220718,,,
77031,80120,20220718,,,
77031,43219,20220718,,,
77031,38117,20220718,,,
77031,75093,20220718,,,
77031,76107,20220718,,,
77031,19342,20220718,,,
77031,66214,20220718,,,
77031,40241,20220718,,,
77031,15205,20220718,,,
77031,76092,20220718,,,
77031,22201,20220718,,,
77031,43240,20220718,,,
77031,14618,20220718,,,
77031,37421,20220718,,,
77031,37067,20220718,,,
77031,22033,20220718,,,
77031,44333,20220718,,,
77031,60134,20220718,,,
77031,27616,20220718,,,
77031,60462,20220718,,,
77031,19341,20220718,,,
77031,14225,20220718,,,
77031,13066,20220718,,,
77031,21784,20220718,,,
77031,21074,20220718,,,
77031,48912,20220718,,,
77031,77031,20220718,,,
77031,22102,20220718,,,
77031,48243,20220718,,,
77031,48604,20220718,,,
77031,29301,20220718,,,
77031,74114,20220718,,,
77031,35801,20220718,,,
77031,21146,20220718,,,
77031,53406,20220718,,,
77031,49418,20220718,,,
77031,17601,20220718,,,
77031,33414,20220718,,,
77031,73034,20220718,,,
77031,76308,20220718,,,
77031,89117,20220718,,,
77031,95825,20220718,,,
77031,32605,20220718,,,
77031,32789,20220718,,,
77031,33486,20220718,,,
77031,34238,20220718,,,
77031,22401,20220718,,,
77031,27265,20220718,,,
77031,25389,20220718,,,
77031,61615,20220718,,,
77031,93720,20220718,,,
77031,32504,20220718,,,
77031,21074,20220718,,,
77031,27511,20220718,,,
77031,20166,20220718,,,
77031,64154,20220718,,,
77031,32250,20220718,,,
77031,44512,20220718,,,
77031,53217,20220718,,,
77031,94111,20220718,,,
77031,19454,20220718,,,
77031,60614,20220718,,,
77031,55369,20220718,,,
77031,21704,20220718,,,
77031,20004,20220718,,,
77031,77339,20220718,,,
77031,60540,20220718,,,
77031,30064,20220718,,,
77031,29464,20220718,,,
77031,60026,20220718,,,
77031,15237,20220718,,,
77031,78209,20220718,,,
77031,11725,20220718,,,
77031,45069,20220718,,,
77031,32174,20220718,,,
77031,32541,20220718,,,
77031,80920,20220718,,,
77031,52806,20220718,,,
77031,28277,20220718,,,
77031,33304,20220718,,,
77031,91101,20220718,,,
77031,44124,20220718,,,
77031,22314,20220718,,,
77031,67206,20220718,,,
77031,46545,20220718,,,
77031,28405,20220718,,,
77031,65203,20220718,,,
77031,65804,20220718,,,
77031,27858,20220718,,,
77031,92037,20220718,,,
77031,68118,20220718,,,
77031,35244,20220718,,,
77031,89052,20220718,,,
77031,77010,20220718,,,
77031,76711,20220718,,,
77031,27713,20220718,,,
77031,77840,20220718,,,
77031,53562,20220718,,,
77031,92009,20220718,,,
77031,27103,20220718,,,
77031,29577,20220718,,,
77031,50266,20220718,,,
77031,91423,20220718,,,
77031,29928,20220718,,,
77031,44236,20220718,,,
77031,73118,20220718,,,
77031,95123,20220718,,,
77031,32940,20220718,,,
77031,60102,20220718,,,
77031,43551,20220718,,,
77031,17110,20220718,,,
77031,36527,20220718,,,
77031,21015,20220718,,,
77031,91739,20220718,,,
77031,20878,20220718,,,
77031,21076,20220718,,,
77031,78746,20220718,,,
77031,77479,20220718,,,
77031,94401,20220718,,,
77031,33907,20220718,,,
77031,27713,20220718,,,
77031,46032,20220718,,,
77031,78412,20220718,,,
77031,33761,20220718,,,
77031,40509,20220718,,,
77031,31904,20220718,,,
77031,90505,20220718,,,
77031,77027,20220718,,,
77031,98037,20220718,,,
77031,22601,20220718,,,
77031,28078,20220718,,,
77031,33324,20220718,,,
77031,21074,20220718,,,
77031,61821,20220718,,,
77031,73072,20220718,,,
77031,98101,20220718,,,
77031,46804,20220718,,,
77031,44718,20220718,,,
77031,78503,20220718,,,
77031,29401,20220718,,,
77031,21240,20220718,,,
77031,85254,20220718,,,
77031,20603,20220718,,,
77031,21030,20220718,,,
77031,71105,20220718,,,
77031,20716,20220718,,,
77031,30606,20220718,,,
77031,61761,20220718,,,
77031,79912,20220718,,,
77031,57106,20220718,,,
77031,60189,20220718,,,
77031,49423,20220718,,,
77031,17011,20220718,,,
77031,19064,20220718,,,
77031,54913,20220718,,,
77031,31405,20220718,,,
77031,92647,20220718,,,
77031,55125,20220718,,,
77031,71201,20220718,,,
77031,75040,20220718,,,
77031,46168,20220718,,,
77031,33710,20220718,,,
77031,38017,20220718,,,
77031,30363,20220718,,,
77031,76102,20220718,,,
77031,41017,20220718,,,
77031,29229,20220718,,,
77031,83702,20220718,,,
77031,92618,20220718,,,
77031,36830,20220718,,,
77031,93065,20220718,,,
77031,99201,20220718,,,
77031,94941,20220718,,,
77031,94301,20220718,,,
77031,94108,20220718,,,
77031,80538,20220718,,,
77031,51106,20220718,,,
77031,23233,20220718,,,
77031,17403,20220718,,,
77031,33803,20220718,,,
77031,14845,20220718,,,
77031,29501,20220718,,,
77031,85704,20220718,,,
77031,16803,20220718,,,
77031,37934,20220718,,,
77031,29732,20220718,,,
77031,21601,20220718,,,
77031,47715,20220718,,,
77031,89511,20220718,,,
77031,72401,20220718,,,
77031,23606,20220718,,,
77031,53226,20220718,,,
77031,95030,20220718,,,
77031,79424,20220718,,,
77031,11385,20220718,,,
77031,27804,20220718,,,
77031,43623,20220718,,,
77031,33410,20220718,,,
77031,20001,20220718,,,
77031,47906,20220718,,,
77031,30346,20220718,,,
77031,45202,20220718,,,
77031,55344,20220718,,,
77031,44116,20220718,,,
77031,75503,20220718,,,
77031,60201,20220718,,,
