ORIGIN ZIP,DESTINATION ZIP,PICKUPDATE (YYYYMMDD),"PICKUPTIME (HH:MM:SS) - If left blank, value defaults to 18:00:00",WEIGHT (lbs),TOTAL PACKAGES IN SHIPMENT
93301,10001,20220718,,,
93301,10002,20220718,,,
93301,10003,20220718,,,
93301,10004,20220718,,,
93301,10005,20220718,,,
93301,10006,20220718,,,
93301,10007,20220718,,,
93301,10008,20220718,,,
93301,10009,20220718,,,
93301,10010,20220718,,,
93301,10011,20220718,,,
93301,10012,20220718,,,
93301,10013,20220718,,,
93301,10014,20220718,,,
93301,10015,20220718,,,
93301,10016,20220718,,,
93301,10017,20220718,,,
93301,10018,20220718,,,
93301,10019,20220718,,,
93301,10020,20220718,,,
93301,10021,20220718,,,
93301,10022,20220718,,,
93301,10023,20220718,,,
93301,10024,20220718,,,
93301,10025,20220718,,,
93301,10026,20220718,,,
93301,10027,20220718,,,
93301,10028,20220718,,,
93301,10029,20220718,,,
93301,10030,20220718,,,
93301,10031,20220718,,,
93301,10032,20220718,,,
93301,10033,20220718,,,
93301,10034,20220718,,,
93301,10035,20220718,,,
93301,10036,20220718,,,
93301,10037,20220718,,,
93301,10038,20220718,,,
93301,10039,20220718,,,
93301,10040,20220718,,,
93301,10041,20220718,,,
93301,10043,20220718,,,
93301,10044,20220718,,,
93301,10045,20220718,,,
93301,10046,20220718,,,
93301,10047,20220718,,,
93301,10048,20220718,,,
93301,10055,20220718,,,
93301,10060,20220718,,,
93301,10065,20220718,,,
93301,10069,20220718,,,
93301,10072,20220718,,,
93301,10075,20220718,,,
93301,10079,20220718,,,
93301,10080,20220718,,,
93301,10081,20220718,,,
93301,10082,20220718,,,
93301,10087,20220718,,,
93301,10090,20220718,,,
93301,10094,20220718,,,
93301,10095,20220718,,,
93301,10096,20220718,,,
93301,10098,20220718,,,
93301,10099,20220718,,,
93301,10101,20220718,,,
93301,10102,20220718,,,
93301,10103,20220718,,,
93301,10104,20220718,,,
93301,10105,20220718,,,
93301,10106,20220718,,,
93301,10107,20220718,,,
93301,10108,20220718,,,
93301,10109,20220718,,,
93301,10110,20220718,,,
93301,10111,20220718,,,
93301,10112,20220718,,,
93301,10113,20220718,,,
93301,10114,20220718,,,
93301,10115,20220718,,,
93301,10116,20220718,,,
93301,10117,20220718,,,
93301,10118,20220718,,,
93301,10119,20220718,,,
93301,10120,20220718,,,
93301,10121,20220718,,,
93301,10122,20220718,,,
93301,10123,20220718,,,
93301,10124,20220718,,,
93301,10125,20220718,,,
93301,10126,20220718,,,
93301,10128,20220718,,,
93301,10129,20220718,,,
93301,10130,20220718,,,
93301,10131,20220718,,,
93301,10132,20220718,,,
93301,10133,20220718,,,
93301,10138,20220718,,,
93301,10149,20220718,,,
93301,10150,20220718,,,
93301,10151,20220718,,,
93301,10152,20220718,,,
93301,10153,20220718,,,
93301,10154,20220718,,,
93301,10155,20220718,,,
93301,10156,20220718,,,
93301,10157,20220718,,,
93301,10158,20220718,,,
93301,10159,20220718,,,
93301,10160,20220718,,,
93301,10161,20220718,,,
93301,10162,20220718,,,
93301,10163,20220718,,,
93301,10164,20220718,,,
93301,10165,20220718,,,
93301,10166,20220718,,,
93301,10167,20220718,,,
93301,10168,20220718,,,
93301,10169,20220718,,,
93301,10170,20220718,,,
93301,10171,20220718,,,
93301,10172,20220718,,,
93301,10173,20220718,,,
93301,10174,20220718,,,
93301,10175,20220718,,,
93301,10176,20220718,,,
93301,10177,20220718,,,
93301,10178,20220718,,,
93301,10179,20220718,,,
93301,10184,20220718,,,
93301,10185,20220718,,,
93301,10196,20220718,,,
93301,10197,20220718,,,
93301,10199,20220718,,,
93301,10200,20220718,,,
93301,10203,20220718,,,
93301,10211,20220718,,,
93301,10212,20220718,,,
93301,10213,20220718,,,
93301,10242,20220718,,,
93301,10249,20220718,,,
93301,10256,20220718,,,
93301,10257,20220718,,,
93301,10258,20220718,,,
93301,10259,20220718,,,
93301,10260,20220718,,,
93301,10261,20220718,,,
93301,10265,20220718,,,
93301,10268,20220718,,,
93301,10269,20220718,,,
93301,10270,20220718,,,
93301,10271,20220718,,,
93301,10272,20220718,,,
93301,10273,20220718,,,
93301,10274,20220718,,,
93301,10275,20220718,,,
93301,10276,20220718,,,
93301,10277,20220718,,,
93301,10278,20220718,,,
93301,10279,20220718,,,
93301,10280,20220718,,,
93301,10281,20220718,,,
93301,10282,20220718,,,
93301,10285,20220718,,,
93301,10286,20220718,,,
93301,10292,20220718,,,
93301,10301,20220718,,,
93301,10302,20220718,,,
93301,10303,20220718,,,
93301,10304,20220718,,,
93301,10305,20220718,,,
93301,10306,20220718,,,
93301,10307,20220718,,,
93301,10308,20220718,,,
93301,10309,20220718,,,
93301,10310,20220718,,,
93301,10311,20220718,,,
93301,10312,20220718,,,
93301,10313,20220718,,,
93301,10314,20220718,,,
93301,10451,20220718,,,
93301,10452,20220718,,,
93301,10453,20220718,,,
93301,10454,20220718,,,
93301,10455,20220718,,,
93301,10456,20220718,,,
93301,10457,20220718,,,
93301,10458,20220718,,,
93301,10459,20220718,,,
93301,10460,20220718,,,
93301,10461,20220718,,,
93301,10462,20220718,,,
93301,10463,20220718,,,
93301,10464,20220718,,,
93301,10465,20220718,,,
93301,10466,20220718,,,
93301,10467,20220718,,,
93301,10468,20220718,,,
93301,10469,20220718,,,
93301,10470,20220718,,,
93301,10471,20220718,,,
93301,10472,20220718,,,
93301,10473,20220718,,,
93301,10474,20220718,,,
93301,10475,20220718,,,
93301,10499,20220718,,,
93301,10501,20220718,,,
93301,10502,20220718,,,
93301,10503,20220718,,,
93301,10504,20220718,,,
93301,10505,20220718,,,
93301,10506,20220718,,,
93301,10507,20220718,,,
93301,10509,20220718,,,
93301,10510,20220718,,,
93301,10511,20220718,,,
