ORIGIN ZIP,DESTINATION ZIP,PICKUPDATE (YYYYMMDD),"PICKUPTIME (HH:MM:SS) - If left blank, value defaults to 18:00:00",WEIGHT (lbs),TOTAL PACKAGES IN SHIPMENT
43004,47610,20220718,,,
43004,47611,20220718,,,
43004,47612,20220718,,,
43004,47613,20220718,,,
43004,47614,20220718,,,
43004,47615,20220718,,,
43004,47616,20220718,,,
43004,47617,20220718,,,
43004,47618,20220718,,,
43004,47619,20220718,,,
43004,47620,20220718,,,
43004,47629,20220718,,,
43004,47630,20220718,,,
43004,47631,20220718,,,
43004,47633,20220718,,,
43004,47634,20220718,,,
43004,47635,20220718,,,
43004,47637,20220718,,,
43004,47638,20220718,,,
43004,47639,20220718,,,
43004,47640,20220718,,,
43004,47647,20220718,,,
43004,47648,20220718,,,
43004,47649,20220718,,,
43004,47654,20220718,,,
43004,47660,20220718,,,
43004,47665,20220718,,,
43004,47666,20220718,,,
43004,47670,20220718,,,
43004,47683,20220718,,,
43004,47701,20220718,,,
43004,47702,20220718,,,
43004,47703,20220718,,,
43004,47704,20220718,,,
43004,47705,20220718,,,
43004,47706,20220718,,,
43004,47708,20220718,,,
43004,47710,20220718,,,
43004,47711,20220718,,,
43004,47712,20220718,,,
43004,47713,20220718,,,
43004,47714,20220718,,,
43004,47715,20220718,,,
43004,47716,20220718,,,
43004,47719,20220718,,,
43004,47720,20220718,,,
43004,47721,20220718,,,
43004,47722,20220718,,,
43004,47724,20220718,,,
43004,47725,20220718,,,
43004,47727,20220718,,,
43004,47728,20220718,,,
43004,47730,20220718,,,
43004,47731,20220718,,,
43004,47732,20220718,,,
43004,47733,20220718,,,
43004,47734,20220718,,,
43004,47735,20220718,,,
43004,47736,20220718,,,
43004,47737,20220718,,,
43004,47739,20220718,,,
43004,47740,20220718,,,
43004,47741,20220718,,,
43004,47744,20220718,,,
43004,47747,20220718,,,
43004,47750,20220718,,,
43004,47801,20220718,,,
43004,47802,20220718,,,
43004,47803,20220718,,,
43004,47804,20220718,,,
43004,47805,20220718,,,
43004,47807,20220718,,,
43004,47808,20220718,,,
43004,47809,20220718,,,
43004,47811,20220718,,,
43004,47812,20220718,,,
43004,47830,20220718,,,
43004,47831,20220718,,,
43004,47832,20220718,,,
43004,47833,20220718,,,
43004,47834,20220718,,,
43004,47836,20220718,,,
43004,47837,20220718,,,
43004,47838,20220718,,,
43004,47840,20220718,,,
43004,47841,20220718,,,
43004,47842,20220718,,,
43004,47845,20220718,,,
43004,47846,20220718,,,
43004,47847,20220718,,,
43004,47848,20220718,,,
43004,47849,20220718,,,
43004,47850,20220718,,,
43004,47851,20220718,,,
43004,47852,20220718,,,
43004,47853,20220718,,,
43004,47854,20220718,,,
43004,47855,20220718,,,
43004,47856,20220718,,,
43004,47857,20220718,,,
43004,47858,20220718,,,
43004,47859,20220718,,,
43004,47860,20220718,,,
43004,47861,20220718,,,
43004,47862,20220718,,,
43004,47863,20220718,,,
43004,47864,20220718,,,
43004,47865,20220718,,,
43004,47866,20220718,,,
43004,47868,20220718,,,
43004,47869,20220718,,,
43004,47870,20220718,,,
43004,47871,20220718,,,
43004,47872,20220718,,,
43004,47874,20220718,,,
43004,47875,20220718,,,
43004,47876,20220718,,,
43004,47878,20220718,,,
43004,47879,20220718,,,
43004,47880,20220718,,,
43004,47881,20220718,,,
43004,47882,20220718,,,
43004,47884,20220718,,,
43004,47885,20220718,,,
43004,47901,20220718,,,
43004,47902,20220718,,,
43004,47903,20220718,,,
43004,47904,20220718,,,
43004,47905,20220718,,,
43004,47906,20220718,,,
43004,47907,20220718,,,
43004,47909,20220718,,,
43004,47916,20220718,,,
43004,47917,20220718,,,
43004,47918,20220718,,,
43004,47920,20220718,,,
43004,47921,20220718,,,
43004,47922,20220718,,,
43004,47923,20220718,,,
43004,47924,20220718,,,
43004,47925,20220718,,,
43004,47926,20220718,,,
43004,47928,20220718,,,
43004,47929,20220718,,,
43004,47930,20220718,,,
43004,47932,20220718,,,
43004,47933,20220718,,,
43004,47934,20220718,,,
43004,47935,20220718,,,
43004,47936,20220718,,,
43004,47937,20220718,,,
43004,47938,20220718,,,
43004,47939,20220718,,,
43004,47940,20220718,,,
43004,47941,20220718,,,
43004,47942,20220718,,,
43004,47943,20220718,,,
43004,47944,20220718,,,
43004,47946,20220718,,,
43004,47948,20220718,,,
43004,47949,20220718,,,
43004,47950,20220718,,,
43004,47951,20220718,,,
43004,47952,20220718,,,
43004,47954,20220718,,,
43004,47955,20220718,,,
43004,47957,20220718,,,
43004,47958,20220718,,,
43004,47959,20220718,,,
43004,47960,20220718,,,
43004,47962,20220718,,,
43004,47963,20220718,,,
43004,47964,20220718,,,
43004,47965,20220718,,,
43004,47966,20220718,,,
43004,47967,20220718,,,
43004,47968,20220718,,,
43004,47969,20220718,,,
43004,47970,20220718,,,
43004,47971,20220718,,,
43004,47974,20220718,,,
43004,47975,20220718,,,
43004,47977,20220718,,,
43004,47978,20220718,,,
43004,47980,20220718,,,
43004,47981,20220718,,,
43004,47982,20220718,,,
43004,47983,20220718,,,
43004,47984,20220718,,,
43004,47986,20220718,,,
43004,47987,20220718,,,
43004,47988,20220718,,,
43004,47989,20220718,,,
43004,47990,20220718,,,
43004,47991,20220718,,,
43004,47992,20220718,,,
43004,47993,20220718,,,
43004,47994,20220718,,,
43004,47995,20220718,,,
43004,47996,20220718,,,
43004,47997,20220718,,,
43004,48001,20220718,,,
